genre,tag,genre number,name,seg,nopunc,focal,compare,stopwords,delimiters,max_cost,120,10,5,2,1,sentence
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,174,65,43,22,13,83
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,365,55,32,13,9,153
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,188,9,7,3,2,60
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,2,0,0,0,0,0
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,295,29,10,4,2,92
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,102,10,7,7,3,28
G11,Etymology,02,erya,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,13,1,0,0,0,4
G11,Etymology,02,erya,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,4,0,0,0,0,1
G11,Etymology,02,erya,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,12,5,0,0,0,5
G11,Etymology,02,erya,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,11,7,4,2,0,6
G11,Etymology,02,erya,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,78,34,25,15,8,30
G11,Etymology,02,erya,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,26,11,5,2,0,19
G11,Etymology,02,erya,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,77,11,4,2,2,35
G11,Etymology,02,erya,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,27,0,0,0,0,7
G11,Etymology,02,erya,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,3,0,0,0,0,0
G11,Etymology,02,erya,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,41,5,4,1,0,10
G11,Etymology,02,erya,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,8,0,0,0,0,4
G11,Etymology,03,shiming,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,17,0,0,0,0,12
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,1,0,0,0,0,1
G11,Etymology,03,shiming,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,54,23,10,6,3,29
G11,Etymology,03,shiming,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,19,4,2,2,2,12
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,58,32,22,10,6,48
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,20,2,1,0,0,17
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,53,4,1,0,0,27
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,28,3,1,0,0,13
G11,Etymology,03,shiming,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,03,shiming,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,52,2,0,0,0,22
G11,Etymology,03,shiming,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,13,2,2,1,0,3
G11,Etymology,04,fangyan,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,1,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,2,1,1,0,0,1
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,5,1,1,0,0,3
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,4,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,04,fangyan,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,3,0,0,0,0,2
G11,Etymology,04,fangyan,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,1,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,16,1,0,0,0,4
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,35,7,4,4,4,12
G11,Etymology,05,jijiupian,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,19,9,0,0,0,4
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G11,Etymology,05,jijiupian,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,24,9,8,4,4,4
G11,Etymology,05,jijiupian,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,993,154,80,23,12,548
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,112,10,3,1,1,62
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,3278,1390,861,429,222,1978
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,1141,387,228,100,54,692
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,14895,6088,3813,1759,972,8891
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,3815,1035,594,247,124,2501
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,9362,1489,911,506,197,5440
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,6937,784,420,170,81,3386
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,72,19,11,4,4,32
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,1491,180,96,43,20,628
G12,Medicine,01,huangdineijing,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,4060,400,218,93,49,1611
G12,Medicine,02,nanjing,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,73,12,7,3,2,31
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,02,nanjing,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,33,24,17,7,2,18
G12,Medicine,02,nanjing,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,39,19,14,4,4,33
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,7,4,3,2,1,4
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,4,0,0,0,0,3
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,9,1,1,0,0,2
